State,Year,Quarter,District_name,Insurance_count,Insurance_amount
Andhra Pradesh,2024,1,Spsr Nellore District,2931.0,3961012.0
Andhra Pradesh,2024,1,Vizianagaram District,1683.0,2049836.0
Andhra Pradesh,2024,1,Visakhapatnam District,9034.0,12016206.0
Andhra Pradesh,2024,1,Prakasam District,1801.0,2513184.0
Andhra Pradesh,2024,1,Anantapur District,2194.0,3722783.0
Andhra Pradesh,2024,1,Ysr District,1935.0,2972264.0
Andhra Pradesh,2024,1,West Godavari District,2808.0,4029842.0
Andhra Pradesh,2024,1,Kurnool District,1916.0,2727094.0
Andhra Pradesh,2024,1,Chittoor District,4784.0,6901394.0
Andhra Pradesh,2024,1,Guntur District,4613.0,5985992.0
Andhra Pradesh,2024,1,Krishna District,5888.0,7907881.0
Andhra Pradesh,2024,2,East Godavari District,4730.0,6812370.0
Andhra Pradesh,2024,2,Srikakulam District,1568.0,1961204.0
Andhra Pradesh,2024,2,Spsr Nellore District,2708.0,4456805.0
Andhra Pradesh,2024,2,Vizianagaram District,1575.0,1986175.0
Andhra Pradesh,2024,2,Visakhapatnam District,9077.0,12170419.0
Andhra Pradesh,2024,2,Prakasam District,2008.0,2858214.0
Andhra Pradesh,2024,2,Anantapur District,1868.0,3445825.0
Andhra Pradesh,2024,2,Ysr District,1652.0,2692864.0
Andhra Pradesh,2024,2,West Godavari District,2505.0,3448213.0
Andhra Pradesh,2024,2,Kurnool District,1664.0,2836292.0
Andhra Pradesh,2024,2,Chittoor District,3925.0,6646337.0
Andhra Pradesh,2024,2,Guntur District,3946.0,6093685.0
Andhra Pradesh,2024,2,Krishna District,5321.0,7539878.0
Andhra Pradesh,2024,3,East Godavari District,2001.0,3116536.0
Andhra Pradesh,2024,3,Srikakulam District,1408.0,1957392.0
Andhra Pradesh,2024,3,Visakhapatnam District,8553.0,12088761.0
Andhra Pradesh,2024,3,Sri Potti Sriramulu Nellore District,2386.0,3626372.0
Andhra Pradesh,2024,3,Kurnool District,960.0,1691366.0
Andhra Pradesh,2024,3,Guntur District,3703.0,5419362.0
Andhra Pradesh,2024,3,Krishna District,1321.0,1995792.0
Andhra Pradesh,2024,3,Spsr Nellore District,1.0,5123.0
Andhra Pradesh,2024,3,Annamayya District,1010.0,2118386.0
Andhra Pradesh,2024,3,Ananthapuramu District,1310.0,2511508.0
Andhra Pradesh,2024,3,Vizianagaram District,1608.0,2223183.0
Andhra Pradesh,2024,3,Tirupati District,3517.0,5808106.0
Andhra Pradesh,2024,3,Alluri Sitharama Raju District,278.0,356671.0
Andhra Pradesh,2024,3,Nandyal District,615.0,1147603.0
Andhra Pradesh,2024,3,Sri Sathyasai District,768.0,1615122.0
Andhra Pradesh,2024,3,Palnadu District,960.0,1461960.0
Andhra Pradesh,2024,3,Prakasam District,1405.0,1885692.0
Andhra Pradesh,2024,3,Parvathipuram Manyam District,361.0,468615.0
Andhra Pradesh,2024,3,Anantapur District,2.0,41706.0
Andhra Pradesh,2024,3,Dr Br Ambedkar Konaseema District,882.0,1478929.0
Andhra Pradesh,2024,3,Bapatla District,797.0,1356652.0
Andhra Pradesh,2024,3,Ntr District,4856.0,6761184.0
Andhra Pradesh,2024,3,Kakinada District,2269.0,3477318.0
Andhra Pradesh,2024,3,Anakapalli District,1792.0,2253638.0
Andhra Pradesh,2024,3,Ysr District,1406.0,2419022.0
Andhra Pradesh,2024,3,West Godavari District,1154.0,1792789.0
Andhra Pradesh,2024,3,Eluru District,1259.0,2088060.0
Andhra Pradesh,2024,3,Chittoor District,1432.0,2748351.0
Andhra Pradesh,2024,4,East Godavari District,2499.0,3119010.0
Andhra Pradesh,2024,4,Srikakulam District,1874.0,2198375.0
Andhra Pradesh,2024,4,Visakhapatnam District,9897.0,13254184.0
