State,Year,Quarter,District_name,Transaction_count,Transaction_amount
Andhra Pradesh,2021,1,Guntur District,27445045,64207987853.108406
Andhra Pradesh,2021,1,Krishna District,29717175,69715406644.53485
Andhra Pradesh,2021,2,East Godavari District,31717908,74604325863.66068
Andhra Pradesh,2021,2,Srikakulam District,13546232,32298129544.540867
Andhra Pradesh,2021,2,Spsr Nellore District,30290406,72283071757.09679
Andhra Pradesh,2021,2,Vizianagaram District,12689494,29140685236.830723
Andhra Pradesh,2021,2,Visakhapatnam District,54390299,114439012713.35336
Andhra Pradesh,2021,2,Prakasam District,19944047,54535328043.04135
Andhra Pradesh,2021,2,Anantapur District,25123346,60987487571.279915
Andhra Pradesh,2021,2,Ysr District,18457361,52523527031.02132
Andhra Pradesh,2021,2,West Godavari District,20950964,57233116236.18796
Andhra Pradesh,2021,2,Kurnool District,21972396,56659287474.995804
Andhra Pradesh,2021,2,Chittoor District,34344902,73654690122.43158
Andhra Pradesh,2021,2,Guntur District,32968819,82356914463.83287
Andhra Pradesh,2021,2,Krishna District,36370960,90021923049.96454
Andhra Pradesh,2021,3,East Godavari District,39572714,89380370072.7078
Andhra Pradesh,2021,3,Srikakulam District,15639768,34836400769.876816
Andhra Pradesh,2021,3,Spsr Nellore District,34411958,77839676988.30869
Andhra Pradesh,2021,3,Vizianagaram District,14510005,31383541628.212524
Andhra Pradesh,2021,3,Visakhapatnam District,69220981,136945652159.26515
Andhra Pradesh,2021,3,Prakasam District,24116580,63367713446.928055
Andhra Pradesh,2021,3,Anantapur District,30366444,70291248155.64975
Andhra Pradesh,2021,3,Ysr District,22439316,60683557724.652336
Andhra Pradesh,2021,3,West Godavari District,26245039,66647238455.1675
Andhra Pradesh,2021,3,Kurnool District,26377809,62527453761.59807
Andhra Pradesh,2021,3,Chittoor District,42628568,89371931753.04831
Andhra Pradesh,2021,3,Guntur District,41675093,96525353090.12305
Andhra Pradesh,2021,3,Krishna District,44828275,104417897558.58972
Andhra Pradesh,2021,4,East Godavari District,48992531,106725597026.00356
Andhra Pradesh,2021,4,Srikakulam District,18501857,39713657870.15512
Andhra Pradesh,2021,4,Spsr Nellore District,41921081,92256405076.26547
Andhra Pradesh,2021,4,Vizianagaram District,17253059,36577529464.9687
Andhra Pradesh,2021,4,Visakhapatnam District,82711538,159530099772.73474
Andhra Pradesh,2021,4,Prakasam District,27858275,71323060008.47623
